# ----------------------------------------
# External Traffic
# Browser & OS
# 20141001-20141031
# ----------------------------------------

Screen Resolution,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
1708x960,2,100.00%,2,50.00%,1.50,00:00:18,0.00%,0,€0.00
1725x970,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,€0.00
1829x1143,2,50.00%,1,50.00%,2.00,00:00:30,0.00%,0,€0.00
1867x1167,2,100.00%,2,50.00%,1.50,00:05:53,0.00%,0,€0.00
2259x1271,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,€0.00
2259x1412,2,50.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
2400x1500,2,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,€0.00
2560x1024,2,50.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
2752x1548,2,50.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
3840x1024,2,50.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
384x592,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,€0.00
384x640,2,100.00%,2,50.00%,2.00,00:01:15,0.00%,0,€0.00
386x643,2,50.00%,1,50.00%,1.50,00:00:44,0.00%,0,€0.00
414x736,2,50.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
480x360,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,€0.00
640x480,2,100.00%,2,0.00%,2.50,00:15:54,0.00%,0,€0.00
683x384,2,100.00%,2,50.00%,1.50,00:00:53,0.00%,0,€0.00
800x1183,2,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,€0.00
800x450,2,100.00%,2,50.00%,1.50,00:00:08,0.00%,0,€0.00
800x480,2,100.00%,2,50.00%,1.50,00:00:11,0.00%,0,€0.00
853x682,2,50.00%,1,0.00%,2.50,00:00:25,0.00%,0,€0.00
985x554,2,50.00%,1,50.00%,3.50,00:10:05,0.00%,0,€0.00
985x788,2,50.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1011x758,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1012x569,1,100.00%,1,0.00%,4.00,00:02:00,0.00%,0,€0.00
1021x638,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1024x1024,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1024x576,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1024x760,1,100.00%,1,0.00%,3.00,00:01:49,0.00%,0,€0.00
1036x647,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1056x594,1,100.00%,1,0.00%,2.00,00:04:41,0.00%,0,€0.00
1093x564,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1113x890,1,100.00%,1,0.00%,3.00,00:00:19,0.00%,0,€0.00
1115x697,1,100.00%,1,0.00%,3.00,00:00:43,0.00%,0,€0.00
1127x902,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1135x641,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1137x758,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1138x853,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1140x641,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1143x643,1,100.00%,1,0.00%,2.00,00:00:08,0.00%,0,€0.00
1152x648,1,100.00%,1,0.00%,5.00,00:08:28,0.00%,0,€0.00
1159x724,1,100.00%,1,0.00%,5.00,00:06:56,0.00%,0,€0.00
1160x725,1,100.00%,1,0.00%,2.00,00:00:10,0.00%,0,€0.00
1161x653,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1164x655,1,100.00%,1,0.00%,2.00,00:00:25,0.00%,0,€0.00
1164x727,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1191x745,1,100.00%,1,0.00%,4.00,00:05:09,0.00%,0,€0.00
1192x670,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1200x675,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1200x750,1,100.00%,1,0.00%,2.00,00:02:19,0.00%,0,€0.00
1205x678,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1205x706,1,100.00%,1,0.00%,3.00,00:04:41,0.00%,0,€0.00
1205x904,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
122x146,1,100.00%,1,0.00%,2.00,00:00:36,0.00%,0,€0.00
122x160,1,100.00%,1,0.00%,3.00,00:00:30,0.00%,0,€0.00
1249x702,1,0.00%,0,0.00%,2.00,00:02:53,0.00%,0,€0.00
1252x704,1,100.00%,1,0.00%,2.00,00:00:07,0.00%,0,€0.00
1263x711,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1280x752,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1292x807,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,€0.00
1296x810,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1323x827,1,100.00%,1,0.00%,4.00,00:03:16,0.00%,0,€0.00
1325x725,1,100.00%,1,0.00%,2.00,00:11:28,0.00%,0,€0.00
1326x746,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,€0.00
1333x1000,1,100.00%,1,0.00%,5.00,00:01:42,0.00%,0,€0.00
1333x833,1,0.00%,0,0.00%,4.00,00:09:29,0.00%,0,€0.00
1336x751,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1347x1011,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,€0.00
1350x810,1,100.00%,1,0.00%,2.00,00:01:24,0.00%,0,€0.00
1365x768,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1366x705,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1366x728,1,100.00%,1,0.00%,3.00,00:01:08,0.00%,0,€0.00
1396x785,1,100.00%,1,0.00%,2.00,00:00:33,0.00%,0,€0.00
1400x875,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1422x889,1,100.00%,1,0.00%,2.00,00:00:25,0.00%,0,€0.00
1423x800,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1429x804,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1488x837,1,100.00%,1,0.00%,2.00,00:00:06,0.00%,0,€0.00
1506x847,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1525x858,1,0.00%,0,0.00%,9.00,00:36:37,0.00%,0,€0.00
1536x1152,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1566x979,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1600x1024,1,100.00%,1,0.00%,11.00,00:27:43,0.00%,0,€0.00
1640x922,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,€0.00
1664x936,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1680x945,1,100.00%,1,0.00%,2.00,00:00:20,0.00%,0,€0.00
1688x1266,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1694x1059,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1696x954,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,€0.00
1706x960,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,€0.00
1707x1067,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,€0.00
1707x1365,1,100.00%,1,0.00%,2.00,00:00:46,0.00%,0,€0.00
1745x1091,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,€0.00
1755x1097,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,€0.00
1755x987,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1792x768,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1800x1125,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1806x949,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1811x1132,1,100.00%,1,0.00%,3.00,00:09:03,0.00%,0,€0.00
1821x1024,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1873x1048,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1876x1173,1,100.00%,1,0.00%,2.00,00:00:20,0.00%,0,€0.00
1882x1059,1,0.00%,0,0.00%,2.00,00:12:19,0.00%,0,€0.00
1897x1148,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1912x975,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1916x1058,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,€0.00
1920x1005,1,100.00%,1,0.00%,3.00,00:01:56,0.00%,0,€0.00
1920x1153,1,100.00%,1,0.00%,2.00,00:05:50,0.00%,0,€0.00
1943x1097,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1976x1235,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
1995x1122,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
20x20,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
2133x1333,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
2160x1440,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
218x189,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
218x192,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
2276x1280,1,100.00%,1,0.00%,2.00,00:00:51,0.00%,0,€0.00
228x330,1,100.00%,1,0.00%,2.00,00:05:35,0.00%,0,€0.00
2304x1440,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
230x261,1,100.00%,1,0.00%,3.00,00:10:38,0.00%,0,€0.00
230x310,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
234x301,1,100.00%,1,0.00%,2.00,00:00:12,0.00%,0,€0.00
240x279,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
246x258,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
2560x1328,1,100.00%,1,0.00%,3.00,00:00:43,0.00%,0,€0.00
2829x1768,1,0.00%,0,0.00%,4.00,00:07:45,0.00%,0,€0.00
282x349,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
2880x900,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
290x45,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
300x371,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
300x375,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
314x200,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
314x220,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
320x240,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
320x570,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
3360x1050,1,100.00%,1,0.00%,5.00,00:05:36,0.00%,0,€0.00
342x487,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
343x571,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
347x347,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
365x413,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
369x456,1,100.00%,1,0.00%,9.00,00:22:01,0.00%,0,€0.00
3840x1080,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
387x688,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
480x853,1,100.00%,1,0.00%,2.00,00:00:09,0.00%,0,€0.00
570x320,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
598x384,1,100.00%,1,0.00%,2.00,00:01:19,0.00%,0,€0.00
600x1024,1,100.00%,1,0.00%,2.00,00:00:51,0.00%,0,€0.00
600x912,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
601x962,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
640x1024,1,100.00%,1,0.00%,5.00,00:02:05,0.00%,0,€0.00
640x313,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
640x360,1,100.00%,1,0.00%,3.00,00:00:45,0.00%,0,€0.00
720x1184,1,100.00%,1,0.00%,4.00,00:01:40,0.00%,0,€0.00
768x1365,1,100.00%,1,0.00%,3.00,00:00:59,0.00%,0,€0.00
768x576,1,100.00%,1,0.00%,3.00,00:02:46,0.00%,0,€0.00
800x1002,1,100.00%,1,0.00%,4.00,00:04:24,0.00%,0,€0.00
800x1220,1,100.00%,1,0.00%,2.00,00:00:05,0.00%,0,€0.00
800x1232,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
800x1270,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
800x440,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
800x860,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
800x863,1,100.00%,1,0.00%,5.00,00:40:06,0.00%,0,€0.00
800x970,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
805x452,1,100.00%,1,0.00%,2.00,00:08:57,0.00%,0,€0.00
853x683,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
854x480,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
910x512,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
911x512,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,€0.00
942x530,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
953x762,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
960x600,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,€0.00
970x545,1,100.00%,1,0.00%,2.00,00:04:52,0.00%,0,€0.00
976x549,1,100.00%,1,0.00%,3.00,00:04:43,0.00%,0,€0.00
983x614,1,0.00%,0,0.00%,2.00,00:00:24,0.00%,0,€0.00
986x554,1,100.00%,1,0.00%,16.00,00:20:04,0.00%,0,€0.00
991x793,1,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,€0.00
,"11,607",74.73%,"8,674",72.07%,1.92,00:02:01,0.00%,0,€0.00

Day Index,Sessions
10/1/14,414
10/2/14,393
10/3/14,369
10/4/14,141
10/5/14,134
10/6/14,404
10/7/14,479
10/8/14,463
10/9/14,446
10/10/14,388
10/11/14,161
10/12/14,145
10/13/14,391
10/14/14,454
10/15/14,499
10/16/14,464
10/17/14,383
10/18/14,166
10/19/14,165
10/20/14,442
10/21/14,510
10/22/14,518
10/23/14,492
10/24/14,397
10/25/14,176
10/26/14,196
10/27/14,473
10/28/14,537
10/29/14,539
10/30/14,483
10/31/14,385
,"11,607"

